seed,step,dataset,muh_fun,method,coverage,width,MSE
0,0,red_protein,NN,split,1.0,1.7226388258220657,0.0840853805149317
0,0,red_protein,NN,wsplit_1,1.0,1.7226388258220657,0.0840853805149317
0,0,red_protein,NN,wsplit_2,1.0,1.7226388258220657,0.0840853805149317
0,0,red_protein,NN,wsplit_3,1.0,1.7226388258220657,0.0840853805149317
0,0,red_protein,NN,wsplit_4,1.0,1.7226388258220657,0.0840853805149317
0,1,red_protein,NN,split,1.0,1.613409371686453,0.09903510042544744
0,1,red_protein,NN,wsplit_1,1.0,1.613409371686453,0.09903510042544744
0,1,red_protein,NN,wsplit_2,1.0,1.613409371686453,0.09903510042544744
0,1,red_protein,NN,wsplit_3,1.0,1.613409371686453,0.09903510042544744
0,1,red_protein,NN,wsplit_4,1.0,1.613409371686453,0.09903510042544744
0,2,red_protein,NN,split,1.0,1.5611372027770112,0.08750171728904954
0,2,red_protein,NN,wsplit_1,1.0,1.2298130208530642,0.08750171728904954
0,2,red_protein,NN,wsplit_2,1.0,1.2298130208530642,0.08750171728904954
0,2,red_protein,NN,wsplit_3,1.0,1.2298130208530642,0.08750171728904954
0,2,red_protein,NN,wsplit_4,1.0,1.2298130208530642,0.08750171728904954
0,3,red_protein,NN,split,1.0,1.615842375386075,0.09161615193915229
0,3,red_protein,NN,wsplit_1,1.0,1.3084031657890345,0.09161615193915229
0,3,red_protein,NN,wsplit_2,1.0,1.88356435992519,0.09161615193915229
0,3,red_protein,NN,wsplit_3,1.0,1.88356435992519,0.09161615193915229
0,3,red_protein,NN,wsplit_4,1.0,1.88356435992519,0.09161615193915229
0,4,red_protein,NN,split,0.0,1.8266005505234273,0.09688977431866962
0,4,red_protein,NN,wsplit_1,0.0,1.1627703547213772,0.09688977431866962
0,4,red_protein,NN,wsplit_2,0.0,1.8266005505234273,0.09688977431866962
0,4,red_protein,NN,wsplit_3,0.0,1.8266005505234273,0.09688977431866962
0,4,red_protein,NN,wsplit_4,0.0,1.8266005505234273,0.09688977431866962
0,5,red_protein,NN,split,0.0,1.1972807385313724,0.09076590383556439
0,5,red_protein,NN,wsplit_1,1.0,inf,0.09076590383556439
0,5,red_protein,NN,wsplit_2,1.0,inf,0.09076590383556439
0,5,red_protein,NN,wsplit_3,1.0,inf,0.09076590383556439
0,5,red_protein,NN,wsplit_4,1.0,inf,0.09076590383556439
0,6,red_protein,NN,split,1.0,1.2827839150184843,0.08055409235070946
